anime_id,Name,Score,Genres,Type,Episodes,Aired,Source,Rank,Popularity,Members
45783,Saiyuuki Reload: Zeroin,6.58,"Action, Adventure, Comedy, Drama, Supernatural",TV,13,"Jan 6, 2022 to Mar 31, 2022",Manga,5924,5553,12295
45784,Tico Chunji Pian,UNKNOWN,UNKNOWN,TV,52,2007 to ?,Original,12975,24330,37
45785,Tico: Shuqi de Weiji,UNKNOWN,UNKNOWN,TV,22,2010 to ?,Original,12979,23961,39
45786,Tico Xiaji Pian,UNKNOWN,UNKNOWN,TV,26,Sep 2013 to ?,Original,12978,23960,39
45787,Tico Dongji Pian,UNKNOWN,UNKNOWN,TV,57,Not available,Original,12979,24465,36
45788,Tico Jiang Gushi,UNKNOWN,UNKNOWN,TV,77,Not available,Original,12979,24196,38
45790,Mu Mucun De Taoqi Chong Chong,UNKNOWN,UNKNOWN,TV,52,2015 to ?,Original,18310,21490,71
45793,Lele Xiong: Mira Lixian Ji,UNKNOWN,UNKNOWN,TV,10,2009 to ?,Original,17672,24232,38
45794,Kepu Zhongguo: Lele Xiong Du Kexue,UNKNOWN,UNKNOWN,TV,56,Not available,Original,17242,23842,40
45795,Lele Xiong Zhentan Tuan,UNKNOWN,UNKNOWN,TV,52,2011 to ?,Original,17673,24074,39
45796,Lele Xiong Anquan Shouce,UNKNOWN,UNKNOWN,TV,26,2016 to ?,Original,17669,24281,37
45797,Lele Xiong Shengcun Da Maoxian,UNKNOWN,UNKNOWN,TV,30,Oct 2012 to ?,Original,17671,24070,39
45799,Meng Zhou Shaonian Zhi: Shanggu Chuanqi,UNKNOWN,UNKNOWN,TV,18,Not available,Original,18027,23507,42
45800,Meng Zhou Shaonian Zhi: Tian Qing Chuanqi,UNKNOWN,UNKNOWN,TV,19,Not available,Original,18028,23568,42
45801,Meng Zhou Shaonian Zhi: Qin Jian Chuanqi,UNKNOWN,UNKNOWN,TV,18,Not available,Original,18026,23709,41
45802,Meng Zhou Shaonian Zhi: Xihan Gongzhu,UNKNOWN,UNKNOWN,TV,38,"Dec 20, 2020 to ?",Original,18029,24148,38
45805,Daji Chengzhang Ji,UNKNOWN,Fantasy,TV,108,"Dec 19, 2014 to ?",Original,15469,24011,39
45810,Si Lu Chuanqi Dahai Tu,UNKNOWN,Adventure,TV,52,Not available,Unknown,19903,23886,40
45811,Zhi Shanzhi Dao,UNKNOWN,UNKNOWN,TV,13,2009 to ?,Original,14272,23997,39
45812,Xiaomi De Senlin,UNKNOWN,UNKNOWN,TV,16,"Sep 16, 2009 to ?",Unknown,13749,20960,83
45815,Qihuan Long Bao,UNKNOWN,"Action, Adventure, Sci-Fi",TV,52,2009,Original,19082,20339,114
45816,Guandong Sanbao Ji,UNKNOWN,UNKNOWN,TV,26,1997 to ?,Unknown,16186,21634,69
45818,Na Sa Er Ding Dong Youji,UNKNOWN,"Adventure, Fantasy",TV,25,2020 to ?,Original,18371,22679,52
45820,Qi Jiguang,UNKNOWN,Action,TV,26,"Oct 10, 2014 to ?",Unknown,19020,21043,80
45821,Luo Baobei,UNKNOWN,UNKNOWN,TV,52,2017 to ?,Original,17786,22284,57
45822,Luo Baobei 2nd Season,UNKNOWN,UNKNOWN,TV,13,2018,Original,17787,22446,55
45823,Luo Baobei 3rd Season,UNKNOWN,UNKNOWN,TV,26,2018 to ?,Original,17788,22474,54
45824,Qi Qu Baodian Julebu,UNKNOWN,UNKNOWN,TV,499,"Jul 1, 2008 to ?",Original,19030,22026,62
45825,Luo Baobei Ai Kexue,UNKNOWN,UNKNOWN,TV,364,2011 to ?,Original,17789,22115,60
45826,Luo Baobei Aixin Xiao Juchang,UNKNOWN,UNKNOWN,TV,52,2010 to ?,Original,17790,22383,56
45827,Maitian Shen Shu,UNKNOWN,UNKNOWN,TV,356,2011 to ?,Original,17842,22197,59
45828,Luo Baobei Ting Gushi,UNKNOWN,UNKNOWN,TV,365,Not available,Original,17791,22116,60
45829,Qi Qu Meng Gong Fang,UNKNOWN,UNKNOWN,TV,52,2010 to ?,Original,19038,22390,56
45830,Tudou Xia,UNKNOWN,UNKNOWN,TV,78,2014 to 2017,Original,13137,21689,68
45831,Yang Jia Jiang: Jin Shatan,UNKNOWN,Fantasy,TV,42,2011 to ?,Other,13988,23570,42
45832,Yang Jia Jiang: Pan Yang An,UNKNOWN,Fantasy,TV,41,Not available,Other,13989,23367,44
45833,Yang Jia Jiang: Zhan Pengcheng,UNKNOWN,Fantasy,TV,26,Not available,Other,13990,23368,44
45834,Hongse Chuanqi,UNKNOWN,UNKNOWN,TV,6,2011 to ?,Original,16532,21403,73
45835,Shanmao He Jimi,UNKNOWN,Fantasy,TV,108,Sep 2009 to ?,Original,19503,23878,40
45837,Shanmao He Jimi: Kuaile Pian,UNKNOWN,Fantasy,TV,108,Not available,Original,19505,24317,37
45838,Shanmao He Jimi: Jianianhua,UNKNOWN,UNKNOWN,TV,108,2011 to ?,Original,19504,24316,37
45839,Shanmao He Jimi: Quanjia Le,UNKNOWN,Fantasy,TV,108,"Apr 17, 2011 to ?",Original,19508,24529,35
45843,Shanmao He Jimi: Yijia Qin,UNKNOWN,Fantasy,TV,108,2012 to ?,Original,19509,24530,35
45844,Shanmao He Jimi: Mohuan Pintu,UNKNOWN,Fantasy,TV,52,Not available,Original,19506,24175,38
45845,Shanmao He Jimi: Pintu Mima,UNKNOWN,Fantasy,TV,52,Mar 2013 to ?,Original,19507,24397,36
45846,Da Xia Shanmao He Jimi,UNKNOWN,Fantasy,TV,52,"Nov 1, 2016 to ?",Original,15436,23410,43
45847,Da Xia Shanmao He Jimi 2nd Season,UNKNOWN,Fantasy,TV,52,Not available,Original,15437,23252,45
45848,DiDi Bang Bang Zongdongyuan,UNKNOWN,Fantasy,TV,104,Apr 2010 to May 2011,Original,15578,21717,67
45850,Shenqi Xiaozi: Mike Yu Xiao Buji,UNKNOWN,Fantasy,TV,50,Jun 2010 to Oct 2010,Unknown,19618,21939,63
45851,Xing Xueyuan,UNKNOWN,Fantasy,TV,26,"Aug 24, 2015 to ?",Original,13837,23115,47
45852,Xing Xueyuan 2: Yue Ling Shou Huan,UNKNOWN,Fantasy,TV,26,"Aug 1, 2016 to ?",Original,13839,23501,43
45853,Xing Xueyuan 3: Pandora Mijing,UNKNOWN,Fantasy,TV,26,"Dec 26, 2017 to ?",Original,13839,23116,47
45854,Zhonghua Xiao Yue Yun,UNKNOWN,UNKNOWN,TV,104,2008 to ?,Unknown,14314,23373,44
45855,Yanwei Xia,UNKNOWN,UNKNOWN,TV,52,Aug 2011 to ?,Original,13999,23919,40
45856,Minjian Gui Shu,UNKNOWN,Horror,ONA,50,"May 14, 2015 to Sep 8, 2017",Original,18152,22260,58
45857,Wo Shi Bin Guo,UNKNOWN,Fantasy,TV,52,2013 to ?,Original,13407,23969,39
45858,Yu Qilin Gushi Hui: Jingdian Gushi Zong Dong Yuan,UNKNOWN,UNKNOWN,TV,104,2012,Unknown,14129,21619,69
45860,Xingji Jiazu: Anquan Shaonian Tuan,UNKNOWN,UNKNOWN,ONA,52,"Feb 22, 2021 to Aug 7, 2021",Unknown,13854,21930,64
45861,Tian You Fan Tong,UNKNOWN,UNKNOWN,TV,40,2011 to ?,Unknown,12950,21358,74
45862,Chao Neng Yongshi,UNKNOWN,UNKNOWN,TV,52,2011 to ?,Unknown,15147,20899,84
45866,Wo Men de Jia Yuan,UNKNOWN,UNKNOWN,TV,52,1999 to ?,Original,13405,21240,76
45868,A Ben Mao,UNKNOWN,UNKNOWN,TV,26,1999 to ?,Original,14442,19970,135
45869,Xiaobudian,UNKNOWN,UNKNOWN,TV,26,1995 to ?,Original,13726,21409,73
45870,Ling Jue Xiao Heshang,UNKNOWN,UNKNOWN,TV,24,1998 to ?,Unknown,17717,23502,42
45871,Yi Fenzhong Xiao Zhentan,UNKNOWN,UNKNOWN,TV,30,1999 to ?,Original,14029,23920,40
45872,Chong Chong,UNKNOWN,UNKNOWN,TV,294,2006 to ?,Unknown,15272,23054,47
45874,Feitian Xiao Hou Wang,UNKNOWN,UNKNOWN,TV,52,1996 to ?,Original,15866,23292,44
45876,Taikong Tejing,UNKNOWN,UNKNOWN,TV,26,1996 to ?,Original,12757,23674,41
45878,Mei Hou Wang,UNKNOWN,Fantasy,TV,12,1995 to ?,Novel,17978,23455,43
45879,Shenlong Weishi,UNKNOWN,UNKNOWN,TV,26,1998 to ?,Original,19600,23955,39
