Aired,Total_Animes,Promedio,Puntaje_Minimo,Puntaje_Maximo,Desviacion_Estandar,Varianza
2011,403,6.658163771712158,3.5,9.07,0.9003330522383944,0.8105996049529034
2012,461,6.587223427331887,2.63,9.03,0.9689270690764586,0.9388196651890965
2013,448,6.609174107142857,3.26,8.91,0.9167870098994935,0.840498421520454
2014,538,6.546486988847583,3.1,8.73,0.9295913885881698,0.8641401497372818
2015,501,6.566726546906187,2.3,9.06,0.9850145496762216,0.9702536630738496
2016,569,6.552478031634447,2.59,8.94,0.9175165558388424,0.8418366302383716
2017,555,6.528738738738738,3.3,8.98,0.9419293483713704,0.8872308973233145
2018,542,6.639077490774908,3.06,8.88,0.8878191298303768,0.7882228072927675
2019,475,6.638189473684211,3.65,9.05,0.9003600345817703,0.8106481918720866
2020,431,6.668445475638051,3.75,8.9,0.8827839927378238,0.7793075778341342
2021,494,6.775708502024291,2.9,9.04,0.8714594576089983,0.7594415862561696
2022,444,6.82490990990991,3.79,9.07,0.8584903233038297,0.737005635206314
2023,153,6.962614379084967,5.12,9.05,0.8205820873991235,0.6733549621603029
